Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2014-12-11 09:08:49.833 -0700,"Success",0:00:05,0,0,0,"20141211_090849.833/LogFile.txt","","",1
2014-12-12 10:10:05.240 -0700,"Failure",0:00:00,1,0,1,"20141212_101005.240/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
2014-12-12 10:11:58.551 -0700,"Success",0:00:06,0,0,0,"20141212_101158.551/LogFile.txt","","",1
2014-12-12 10:59:39.567 -0700,"Success",0:00:05,0,0,0,"20141212_105939.567/LogFile.txt","","",1
2014-12-12 13:52:33.874 -0700,"Success",0:00:13,0,0,0,"20141212_135233.874/LogFile.txt","","",1
